Geography,Geographic Area Name,median_household_income
1400000US12011020417,Census Tract 204.17; Broward County; Florida,41552
1400000US12011020418,Census Tract 204.18; Broward County; Florida,79386
1400000US12011020419,Census Tract 204.19; Broward County; Florida,71029
1400000US12011020420,Census Tract 204.20; Broward County; Florida,96272
1400000US12011020421,Census Tract 204.21; Broward County; Florida,72583
1400000US12011020501,Census Tract 205.01; Broward County; Florida,75388
1400000US12011020502,Census Tract 205.02; Broward County; Florida,50978
1400000US12011030100,Census Tract 301; Broward County; Florida,97454
1400000US12011030201,Census Tract 302.01; Broward County; Florida,56305
1400000US12011030202,Census Tract 302.02; Broward County; Florida,49107
1400000US12011030203,Census Tract 302.03; Broward County; Florida,69722
1400000US12011030301,Census Tract 303.01; Broward County; Florida,49464
1400000US12011030302,Census Tract 303.02; Broward County; Florida,63056
1400000US12011030401,Census Tract 304.01; Broward County; Florida,64844
1400000US12011030402,Census Tract 304.02; Broward County; Florida,27721
1400000US12011030500,Census Tract 305; Broward County; Florida,44658
1400000US12011030601,Census Tract 306.01; Broward County; Florida,44907
1400000US12011030602,Census Tract 306.02; Broward County; Florida,51875
1400000US12011030702,Census Tract 307.02; Broward County; Florida,106424
1400000US12011030703,Census Tract 307.03; Broward County; Florida,52240
1400000US12011030704,Census Tract 307.04; Broward County; Florida,63744
1400000US12011030705,Census Tract 307.05; Broward County; Florida,46682
1400000US12011030803,Census Tract 308.03; Broward County; Florida,51569
1400000US12011030804,Census Tract 308.04; Broward County; Florida,51507
1400000US12011030805,Census Tract 308.05; Broward County; Florida,57351
1400000US12011030806,Census Tract 308.06; Broward County; Florida,55300
1400000US12011030902,Census Tract 309.02; Broward County; Florida,87109
1400000US12011030903,Census Tract 309.03; Broward County; Florida,68594
1400000US12011030904,Census Tract 309.04; Broward County; Florida,98625
1400000US12011031001,Census Tract 310.01; Broward County; Florida,56731
1400000US12011031002,Census Tract 310.02; Broward County; Florida,74408
1400000US12011031101,Census Tract 311.01; Broward County; Florida,80156
1400000US12011031102,Census Tract 311.02; Broward County; Florida,64924
1400000US12011031203,Census Tract 312.03; Broward County; Florida,78240
1400000US12011031204,Census Tract 312.04; Broward County; Florida,62000
1400000US12011031205,Census Tract 312.05; Broward County; Florida,86964
1400000US12011031206,Census Tract 312.06; Broward County; Florida,91198
1400000US12011031207,Census Tract 312.07; Broward County; Florida,107932
1400000US12011040101,Census Tract 401.01; Broward County; Florida,71042
1400000US12011040102,Census Tract 401.02; Broward County; Florida,81937
1400000US12011040203,Census Tract 402.03; Broward County; Florida,75286
1400000US12011040204,Census Tract 402.04; Broward County; Florida,72039
1400000US12011040205,Census Tract 402.05; Broward County; Florida,86892
1400000US12011040206,Census Tract 402.06; Broward County; Florida,96500
1400000US12011040300,Census Tract 403; Broward County; Florida,58775
1400000US12011040401,Census Tract 404.01; Broward County; Florida,83510
1400000US12011040402,Census Tract 404.02; Broward County; Florida,126423
1400000US12011040502,Census Tract 405.02; Broward County; Florida,91339
1400000US12011040503,Census Tract 405.03; Broward County; Florida,66726
1400000US12011040505,Census Tract 405.05; Broward County; Florida,100667
1400000US12011040506,Census Tract 405.06; Broward County; Florida,84346
1400000US12011040601,Census Tract 406.01; Broward County; Florida,111853
1400000US12011040602,Census Tract 406.02; Broward County; Florida,149500
1400000US12011040701,Census Tract 407.01; Broward County; Florida,107188
1400000US12011040702,Census Tract 407.02; Broward County; Florida,101071
1400000US12011040801,Census Tract 408.01; Broward County; Florida,68538
1400000US12011040802,Census Tract 408.02; Broward County; Florida,66364
1400000US12011040901,Census Tract 409.01; Broward County; Florida,53856
1400000US12011040902,Census Tract 409.02; Broward County; Florida,59647
1400000US12011041000,Census Tract 410; Broward County; Florida,58103
1400000US12011041100,Census Tract 411; Broward County; Florida,46142
1400000US12011041200,Census Tract 412; Broward County; Florida,38804
1400000US12011041300,Census Tract 413; Broward County; Florida,60325
1400000US12011041400,Census Tract 414; Broward County; Florida,44185
1400000US12011041500,Census Tract 415; Broward County; Florida,22296
1400000US12011041601,Census Tract 416.01; Broward County; Florida,48611
1400000US12011041602,Census Tract 416.02; Broward County; Florida,39038
1400000US12011041700,Census Tract 417; Broward County; Florida,48049
1400000US12011041801,Census Tract 418.01; Broward County; Florida,138688
1400000US12011041802,Census Tract 418.02; Broward County; Florida,78664
1400000US12011041900,Census Tract 419; Broward County; Florida,114229
1400000US12011042000,Census Tract 420; Broward County; Florida,137667
1400000US12011042100,Census Tract 421; Broward County; Florida,91094
1400000US12011042200,Census Tract 422; Broward County; Florida,104205
1400000US12011042301,Census Tract 423.01; Broward County; Florida,87938
1400000US12011042302,Census Tract 423.02; Broward County; Florida,86429
1400000US12011042400,Census Tract 424; Broward County; Florida,184205
1400000US12011042501,Census Tract 425.01; Broward County; Florida,98397
1400000US12011042502,Census Tract 425.02; Broward County; Florida,120831
1400000US12011042601,Census Tract 426.01; Broward County; Florida,106956
1400000US12011042602,Census Tract 426.02; Broward County; Florida,85614
1400000US12011042700,Census Tract 427; Broward County; Florida,49063
1400000US12011042801,Census Tract 428.01; Broward County; Florida,60026
1400000US12011042802,Census Tract 428.02; Broward County; Florida,65536
1400000US12011042900,Census Tract 429; Broward County; Florida,70729
1400000US12011043001,Census Tract 430.01; Broward County; Florida,145191
1400000US12011043002,Census Tract 430.02; Broward County; Florida,72978
1400000US12011043100,Census Tract 431; Broward County; Florida,104172
1400000US12011043301,Census Tract 433.01; Broward County; Florida,107421
1400000US12011043302,Census Tract 433.02; Broward County; Florida,64572
1400000US12011050100,Census Tract 501; Broward County; Florida,57500
1400000US12011050204,Census Tract 502.04; Broward County; Florida,81336
1400000US12011050205,Census Tract 502.05; Broward County; Florida,69625
1400000US12011050206,Census Tract 502.06; Broward County; Florida,78935
1400000US12011050207,Census Tract 502.07; Broward County; Florida,68565
1400000US12011050208,Census Tract 502.08; Broward County; Florida,78781
1400000US12011050301,Census Tract 503.01; Broward County; Florida,70417
1400000US12011050306,Census Tract 503.06; Broward County; Florida,54773
1400000US12011050308,Census Tract 503.08; Broward County; Florida,47130
1400000US12011050309,Census Tract 503.09; Broward County; Florida,36971
1400000US12011050311,Census Tract 503.11; Broward County; Florida,37692
1400000US12011050312,Census Tract 503.12; Broward County; Florida,35295
1400000US12011050313,Census Tract 503.13; Broward County; Florida,29464
1400000US12011050314,Census Tract 503.14; Broward County; Florida,43354
